微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
McdVzr13G,#TUV莱茵150周年中国品质体验之旅# 首先来到的是全程无人值守的 SmartLab，采用智能机械臂实现无人值守的数字化检测，降低人工成本的同时也能减少人为错误。 上海·莱茵大厦  显示地图 [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/72157b63ly1h7jngvpiscj235c2d07wi.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7jnguftxuj235c2d0hdv.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7jngxd5e0j23342bcu0y.jpg",无,上海·莱茵大厦,2022-10-27 10:48,vivo X60 Pro+,6,5,3
McdPFBLTZ,任意键｜让玩家苦等八年的《蔑视》，曲高和寡还是虚有其表？本栏目新增音频内容啦！来听听看本期任意键：「任意键」正式上线啦！  原图 ,,https://wx1.sinaimg.cn/large/72157b63ly1h7j0et8gtnj213g0jo0vk.jpg,无,无,2022-10-27 10:34,微博 weibo.com,3,1,0
McdvAnszs,派君来参加 TUV 莱茵品质中国行，第一站是@德国莱茵TUV 的莱茵上海公司，上午将会参观多个实验室，了解他们在不同领域的认证服务的技术积累  #TUV莱茵150周年中国品质体验之旅##派在现场# 上海·莱茵大厦  显示地图 [组图共3张] 原图 ,,"http://ww1.sinaimg.cn/large/72157b63ly1h7jlgcl037j22c03401l1.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7jlpvk32nj23402c0hdv.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7jlptdajzj23402c0qv7.jpg",无,上海·莱茵大厦,2022-10-27 09:44,无,8,2,0
Mcdhy90Mo,#派早报# 01. 索尼公布旗舰级相机 Alpha 7R V02. Nothing 推出新款耳机 Ear (stick)03. LINE 推出免费商用字型 LINE Seed04. 亚马逊中国首批可再生能源项目投入运营05. 针对旅行房车的星链卫星网络即将启用06. CDPR 确认《巫师》首作重制版正在开发中07.《卧龙：苍天陨落》发售日公开🔗：派早报：索尼推出 A7R V 相机、CDPR 确认《巫师》重制版开发中等                  原图                             ,,https://wx1.sinaimg.cn/large/72157b63ly1h7jkqa3y0vj20q9cj3kju.jpg,无,无,2022-10-27 09:09,无,7,3,2
Mc8F7F1jC,提到人像照片的美化，大家很容易联想到磨皮美白、大眼瘦脸的「亚洲易容魔法」，但真正可以留在相册、坦荡荡发圈的自拍，还是要做到忠于自己。那如何尽可能做到扬长避短，又得避免任何因为手机镜头光学原理、拍摄环境等客观因素带来的视觉差异？或许你可以在 vivo X 系列里找到满意的答案。 怎么拍人像都好看，这款手机人像「封神」 抽奖详情                                 ,,无,无,无,2022-10-26 21:24,微博 weibo.com,29,160,26
Mc7Og5pQD,对着白纸文思枯竭？LEX 想用 AI 帮你算出第一段 LEX 基于风头正劲的 AI 文本生成引擎 GPT-3。在原本 GPT-2 时代，人工智能自动补全已经大显神通了。GPT-3 的应用，意味着写出来的东西更真假难辨。🔗：对着白纸文思枯竭？LEX 想用 AI 帮你算出第一段  原图 ,,https://wx2.sinaimg.cn/large/72157b63ly1h7iwkd3hjyj20m80b474y.jpg,无,无,2022-10-26 19:14,微博 weibo.com,11,6,0
Mc6UwxVkM,⌨️小众与流行交织，乱象与发展并存——一个玩家兼创作者眼中的键盘圈 2022 年，对我来说是不平凡的一年，键圈的兴亡成败在这一年格外明显。我来讲讲这一年的所思所想和所感，以及今后的一些打算。🔗：【拾键杂谈】键盘圈不平凡的一年，我的所见所闻和所感  原图 ,,https://wx3.sinaimg.cn/large/72157b63ly1h7islnt0vkj213g0jo41n.jpg,无,无,2022-10-26 16:56,微博 weibo.com,16,13,5
Mc5qZkOqL,帮你立省几百块的小技巧  原图 ,,https://wx4.sinaimg.cn/large/72157b63ly1h7im271uejj20v90nkacv.jpg,无,无,2022-10-26 13:11,无,19,1,6
Mc5i8Egg7,macOS Ventura 正式版来了，升级之后试试这些新变化北京时间 10 月 25 日凌晨，Apple 推送了 macOS Ventura 正式版更新。此次更新为 macOS 带来了台前调度、连续互通相机、iMessage 撤回、编辑等功能。少数派为你整理了 macOS Ventura 中值得关注的系统新特性，希望能够帮助你快速熟悉新系统。🔗：macOS Ventura 正式版来了，升级之后试试这些新变化·                  原图                             ,,https://wx2.sinaimg.cn/large/72157b63ly1h7ilgc8chfj20m80m811v.jpg,无,无,2022-10-26 12:49,新版微博 weibo.com,31,12,23
Mc3TG9egl,#派早报# 01. 云米发布 AI 空调 Master 等多款新品02. 微软发布 Windows Dev Kit 2023 套件03. Shutterstock 将与 OpenAI 合作售卖 AI 创作内容04. App Store 更新 NFT 相关规则05. Apple 呼吁其全球供应链 2030 年前实现脱碳06. Chrome 将不再支持 Windows 7/8.1🔗：派早报：云米发布多款新品、微软发布 Windows Dev Kit 套件等                  原图                             ,,https://wx1.sinaimg.cn/large/72157b63ly1h7ifafskvyj20q9be0e89.jpg,无,无,2022-10-26 09:16,新版微博 weibo.com,8,1,1
MbYSRgaIL,此次发布会上云米也更新了 HomeMap 2.0，实现 App 内所有功能一屏界面掌控，根据用户高频生活场景，定制 9 大全屋场景方案，每个设备都以独立的卡片式界面呈现，并且将相关设备进行统一管理，全屋环境数据实时查看。#云米秋季AI软件发布会# #云米全屋智能战略升级#  [组图共6张] 原图 ,,"http://ww3.sinaimg.cn/large/72157b63ly1h7ht49aurtj21hc0mpjue.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7ht56nmhzj21hc0mp41a.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7ht5dudk5j21hc0mpgol.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7ht4qluz9j21hc0mpad5.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7ht5jqq0mj21hc0mpaci.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7ht5nsa7gj21hc0mpgob.jpg",无,无,2022-10-25 20:30,微博 weibo.com,2,0,0
MbYyviTZC,云米AI矿物质净水器EROx 采用 ERO电渗析技术可以有效去除重金属，保留水中矿物质。净水器感觉挺实用的，就是普通自来水中可能没什么特别的矿物质了吧#云米秋季AI软件发布会##云米全屋智能战略升级#  [组图共6张] 原图 ,,"http://ww2.sinaimg.cn/large/72157b63ly1h7hrnprpu2j21hc0mpk27.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7hrnq3mr1j21hc0mpte5.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7hrnqfjhcj21hc0mpwlx.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7hrnquwhsj21hc0mp43x.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7hrnp564ij21hc0mp43v.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7hrnr2exfj20zk0f4jtc.jpg",无,无,2022-10-25 19:40,无,4,0,2
MbYrYq45d,云米在今晚的新品发布会上推出了首款除甲醛空调，云米 AI 空调 Master，使用活性锰除甲醛技术，可实现在 2 小时内祛除 99% 的甲醛。此外，还推出了 Space Pro 全域风空调，1 小时内全屋换新风，并且可以通过云米App 智能管理空气质量 ，一键除甲醛、自动换新风、智能控制室温。#云米秋季AI软件发布会##云米全屋智能战略升级#             [组图共6张]      原图                             ,,"http://ww3.sinaimg.cn/large/72157b63ly1h7hr7oj8jxj227w0xgqo9.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7hr7b360gj21hc0mpalz.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7hrbhy4fjj21hc0mpdpg.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7hrb96gibj21hc0mpk2w.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7hrb9vhodj21hc0mpgxm.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7hrb8pofvj21hc0mpn7v.jpg",无,无,2022-10-25 19:24,无,8,2,8
MbXTi7lG9,「千呼万唤始出来」的 iPadOS 16.1，这些新功能值得关注多任务处理：台前调度、多任务菜单协作功能「天气」来到 iPad「备忘录」获得更多功能性更新一个更加现代的「邮箱」应用🔗：「千呼万唤始出来」的 iPadOS 16.1，这些新功能值得关注  [组图共5张] 原图 ,,"http://ww4.sinaimg.cn/large/72157b63ly1h7ho69zyixj20v40lqq4k.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7ho6ji1l0j20v40lq75x.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7ho6luj91j20v40lq40w.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7ho6owrqej20v40lqmz4.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7ho6vzw0rj20v40jugmy.jpg",无,无,2022-10-25 17:59,微博 weibo.com,25,6,11
MbXDl6DJC,一部合格的入门级 iPad：2022 款 iPad 上手体验在 Apple 推出的十月新品中，新 iPad 无疑是争议最大的一个。A14 芯片性能够用吗？新的荧幕会卡顿和不跟手吗？产品外观和质感会退步吗？——和许多人一样，我在新品发布日当晚也产生了这些疑问和困惑。带着这些问题，我提前上手了新款 iPad，并与第五代 iPad Air进行了对比。🔗：一部合格的入门级 iPad：2022 款 iPad 上手体验                  原图                             ,,https://wx1.sinaimg.cn/large/72157b63ly1h7hnn4purqj213g0jowey.jpg,无,无,2022-10-25 17:19,微博 weibo.com,50,4,17
MbWOzut8A,微信是如何一步步告别「小而美」的？为什么微信越来越臃肿了？在过去十一年来，微信是如何一步一步成为一个超级 APP 的？为了了解背后的发展故事，我作了此文加以梳理。🔗：微信是如何一步步告别「小而美」的？·  原图 ,,https://wx2.sinaimg.cn/large/72157b63ly1h7hk13955nj213g0jojrn.jpg,无,无,2022-10-25 15:14,微博 weibo.com,82,38,31
MbW87h6xS,🏋🏻用「功能性训练」来升级你的训练计划功能性训练简单来说，就是通过训练让身体充分发挥运动功能，从而帮助我们更好生活的训练。其立足于身体功能，选择贴近生活需求符合身体活动的基本特征的动作，以此来发展身体功能，同时注重损伤的预防。因此相比于传统训练，功能性训练无疑更适合我们作为日常的训练形式。🔗：用「功能性训练」来升级你的训练计划                  原图                             ,,https://wx3.sinaimg.cn/large/72157b63ly1h7heuqqc12j213g0jo7b5.jpg,无,无,2022-10-25 13:30,微博 weibo.com,15,7,2
MbVPQ8Rze,iOS 16.1 更新：实时活动上线、「灵动岛」上新，还有多项体验优化实时活动正式上线，「灵动岛」交互继续优化新增「从其它 App 粘贴」选项改进电池电量显示样式优化锁定屏幕设置iCloud 共享图库正式上线Apple Fitness+ 使用更便捷新增 Matter 设置选项🔗：iOS 16.1 更新：实时活动上线、「灵动岛」上新，还有多项体验优化  [组图共7张] 原图 ,,"http://ww4.sinaimg.cn/large/72157b63ly1h7hevkia4fj209q0l2ab7.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7hevwk9avj20u00w80ui.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7hewl4ah3j20u01sxthw.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7hewrh58hj20u00w8tc0.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7hewuiasjj20u01t1juq.jpg,http://ww2.sinaimg.cn/large/72157b63ly1h7hex7s4bqj20v40eewh0.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7hexabv3lj20um0u0tbb.jpg",无,无,2022-10-25 12:45,微博 weibo.com,36,13,20
MbUTO8EoR,派评 | 近期值得关注的 AppStriving：可以养猫的番茄计时器Routinery：用小举措养成好习惯Like A Dino：消磨时间的萌趣小音游Lightroom 移动版 8.0：新增自适应预设和内容识别移除功能等Steam 移动端 3.0：更直观、更易用滴墨社区：零门槛 AI 绘画🔗：派评 | 近期值得关注的 App  [组图共6张] 原图 ,,"http://ww4.sinaimg.cn/large/72157b63ly1h7goeokr0bj20u00u4gnd.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7goere4j7j20v40maabe.jpg,http://ww4.sinaimg.cn/large/72157b63ly1h7goeuceb8j20v40lqdgw.jpg,http://ww1.sinaimg.cn/large/72157b63ly1h7goexhx1dj20u00w876s.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7gof0ucpvj20u00vtq7y.jpg,http://ww3.sinaimg.cn/large/72157b63ly1h7gof3z3bhj20v40mb446.jpg",无,无,2022-10-25 10:22,微博 weibo.com,9,5,3
